"graduate_program_id","lattes_id","year","type_"
1495,"7506545194715050",2023,"PERMANENTE"
1497,"4465267733723830",2023,"PERMANENTE"
1512,"2691073667078347",2023,"PERMANENTE"
1495,"5784818514689266",2023,"PERMANENTE"
1517,"9114372262424746",2023,"PERMANENTE"
1511,"4517176127497696",2023,"PERMANENTE"
1513,"4221004979116020",2023,"PERMANENTE"
1514,"2078633938003826",2023,"PERMANENTE"
1494,"2078633938003826",2023,"PERMANENTE"
1495,"9311512323494016",2023,"PERMANENTE"
1495,"7824824785994078",2023,"PERMANENTE"
1519,"7824824785994078",2023,"PERMANENTE"
1510,"4614316853996892",2023,"PERMANENTE"
1511,"4614316853996892",2023,"PERMANENTE"
1507,"4640008820803559",2023,"PERMANENTE"
1506,"3464277275941528",2023,"PERMANENTE"
1517,"0657956315699090",2023,"COLABORADOR"
1505,"0674828590635391",2023,"PERMANENTE"
1504,"4248295306985823",2023,"PERMANENTE"
1509,"3232151916338195",2023,"PERMANENTE"
1503,"9455420974754577",2023,"PERMANENTE"
1496,"7397919125277407",2023,"PERMANENTE"
1495,"0900927432940135",2023,"PERMANENTE"
1501,"4025227752576820",2023,"COLABORADOR"
1517,"7884284198505315",2023,"PERMANENTE"
1495,"1168922959801296",2023,"PERMANENTE"
1502,"6866260075679758",2023,"PERMANENTE"
1511,"7439506521096432",2023,"PERMANENTE"
1509,"7439506521096432",2023,"PERMANENTE"
1510,"7439506521096432",2023,"PERMANENTE"
1500,"1340547670042166",2023,"PERMANENTE"
1497,"5065411466998527",2023,"PERMANENTE"
1502,"4832145819089248",2023,"PERMANENTE"
1495,"1416013189430364",2023,"PERMANENTE"
1494,"4845203698377260",2023,"PERMANENTE"
1517,"1435414547926102",2023,"COLABORADOR"
1516,"1435414547926102",2023,"PERMANENTE"
1506,"2619253537791316",2023,"PERMANENTE"
1513,"4491943206989860",2023,"COLABORADOR"
1504,"4491943206989860",2023,"PERMANENTE"
1519,"8870990485069821",2023,"PERMANENTE"
1495,"8870990485069821",2023,"PERMANENTE"
1516,"5169785005914909",2023,"PERMANENTE"
1515,"7011213298306081",2023,"COLABORADOR"
1507,"4522618794599102",2023,"PERMANENTE"
1519,"7471408974598135",2023,"PERMANENTE"
1504,"1615449572212580",2023,"PERMANENTE"
1507,"1644871528130242",2023,"PERMANENTE"
1506,"1644871528130242",2023,"PERMANENTE"
1503,"2775327815229763",2023,"PERMANENTE"
1497,"3574270728018347",2023,"PERMANENTE"
1512,"1646065336412746",2023,"PERMANENTE"
1501,"7345698017961040",2023,"PERMANENTE"
1512,"4543776788577284",2023,"COLABORADOR"
1494,"4549243422662681",2023,"PERMANENTE"
1497,"4549243422662681",2023,"PERMANENTE"
1515,"1796262889247106",2023,"PERMANENTE"
1496,"5230134202942708",2023,"PERMANENTE"
1514,"5249650140451198",2023,"PERMANENTE"
1519,"1853388207526266",2023,"COLABORADOR"
1494,"5337558008919498",2023,"COLABORADOR"
1495,"9113632934022269",2023,"PERMANENTE"
1498,"7281089484989218",2023,"PERMANENTE"
1516,"7281089484989218",2023,"PERMANENTE"
1499,"7281089484989218",2023,"PERMANENTE"
1502,"5458336292373255",2023,"PERMANENTE"
1518,"2243966333828094",2023,"COLABORADOR"
1508,"2247991541439424",2023,"PERMANENTE"
1514,"2247991541439424",2023,"PERMANENTE"
1505,"2365031888675385",2023,"PERMANENTE"
1501,"2410356941075360",2023,"PERMANENTE"
1498,"2410356941075360",2023,"PERMANENTE"
1499,"2410356941075360",2023,"PERMANENTE"
1503,"7240586669577145",2023,"PERMANENTE"
1512,"7240586669577145",2023,"COLABORADOR"
1509,"2522323957804356",2023,"COLABORADOR"
1508,"2482747429092370",2023,"PERMANENTE"
1502,"8155037803045858",2023,"PERMANENTE"
1507,"2506452256257692",2023,"PERMANENTE"
1509,"6664964925336634",2023,"PERMANENTE"
1511,"5629822206205508",2023,"PERMANENTE"
1510,"5758812311471326",2023,"PERMANENTE"
1496,"1369361529712124",2023,"PERMANENTE"
1512,"7800945560344557",2023,"PERMANENTE"
1507,"5803464064476531",2023,"COLABORADOR"
1513,"5803464064476531",2023,"PERMANENTE"
1500,"1416504174729391",2023,"PERMANENTE"
1496,"7355133184082398",2023,"PERMANENTE"
1519,"5858046785537069",2023,"PERMANENTE"
1499,"7401911259032572",2023,"COLABORADOR"
1500,"7401911259032572",2023,"PERMANENTE"
