,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,first_doc,institution_id,ind_prod
0,9d2d9d1c-0af9-4dfe-8be1-fc26c8e8a227,,,,,,,,,,,,,,,,,,,,,,,,,,None,498cadc8-b8f6-4008-902e-76281101237d,0.0
1,1d6969ac-6797-4c31-83ac-8dd5303fb2a0,,,,,,,,,,,,,,,,,,,,,,,,,,2019,498cadc8-b8f6-4008-902e-76281101237d,0.0
2,e3d19280-634d-41df-bfa1-83d7c5e8b86b,,,,3,,,,,6,2,3,,1,4,Doutorado,1,4,2,,,,,7,,6,2021,7d367bc2-5c74-4648-a637-7f5c3f4fac81,4.49
3,b64a650b-1f29-4c88-9e00-7625e0b17965,,,,,,,,,,,,,,,,,,,,,,,,,,2009,498cadc8-b8f6-4008-902e-76281101237d,0.0
4,a7a19490-84bd-4cea-b666-ac7d700945a1,,,,,,,,,,,,,,,,,,,,,,,,,,2013,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,0.0
5,28698d70-8ef0-44fd-b70a-09621873485d,,,,,,,,,,,,,,,,,,,,,,,,,,2015,68125729-c357-4830-ba4d-ec3ca757c323,0.0
6,9c11b1b5-1c8f-4216-8cc4-99b2fe7acec0,1,,,,,,,,,,,,1,,Doutorado,,,,,,,,,,,2021,498cadc8-b8f6-4008-902e-76281101237d,0.0
7,38434fa3-3ba6-42e4-9ae6-cfb7263962a1,,,,,,,,,,,,,,,,,,,,,,,,,,2011,7d367bc2-5c74-4648-a637-7f5c3f4fac81,0.0
8,e733058d-cdf0-4c99-a4b8-588ba3e5cf58,,,,,,,,,,,,,,,Doutorado,,,,,,,,1,,,2014,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,0.0
9,4b4a6930-84df-49b4-ad4f-17f8f9f65af1,,,,,,,,,,,,,,,,,,,,,,,,,,None,498cadc8-b8f6-4008-902e-76281101237d,0.0
10,9d8cb9cc-7270-4163-85a7-4ae0fb3dc4e9,,,,,,,,,,,,,,,,,,,,,,,,,,None,7d367bc2-5c74-4648-a637-7f5c3f4fac81,0.0
11,70001996-2f25-46c3-8b93-9a77761602b9,,,,,,,,,,,,,,,,,,,,,,,,,,None,498cadc8-b8f6-4008-902e-76281101237d,0.0
12,84f63e52-e7f4-4efc-837b-12ee8e972343,,,,5,,,,,,1,,,,,Doutorado,,,,,,,,8,,,2017,498cadc8-b8f6-4008-902e-76281101237d,0.37
13,ae31fd81-2c5d-4eb5-81ac-7498a8c285ca,,,,,,,,,,,,,,,,,,,,,,,,,,2017,7d367bc2-5c74-4648-a637-7f5c3f4fac81,0.0
14,47c25911-3e44-4216-9ca6-4559f9fb7e32,,,,,,,,,,,,,,,,,,,,,,,,,,None,7d367bc2-5c74-4648-a637-7f5c3f4fac81,0.0
15,1846cb5d-1965-4b8c-b093-ae18905049e1,,,,,,,,,,,,,,,,,,,,,,,,,,None,498cadc8-b8f6-4008-902e-76281101237d,0.0
16,44287c37-ce90-4711-99bc-b31adb8ba6b6,,,,,,,,,,,1,,,1,Mestrado,,,,,,,,1,,,None,498cadc8-b8f6-4008-902e-76281101237d,0.25
17,ab208d74-b8fb-49e8-94c7-64bc06b12e69,,,,,,,,,,,,,,,,,,,,,,,,,,None,498cadc8-b8f6-4008-902e-76281101237d,0.0
18,1d29e9d1-9b86-4e18-ac74-7a3eeaf29c62,,,,,,,,,1,1,,,1,,Doutorado,,,,,,,,4,,,2023,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,0.87
19,96ba76bd-f613-4240-b957-9d36de7b5c35,,,,,,,1,,,,,,,,Graduação,,,,,,,,,,,None,498cadc8-b8f6-4008-902e-76281109187d,0.75
20,e7514f07-0901-4971-bcd4-23f4b84e0105,,,,10,,2,2,1,1,,1,,,,Pós-Doutorado,1,23,3,27,,,,4,,,2009,498cadc8-b8f6-4008-902e-76281101237d,4.625
21,358b67e4-dba7-4942-b15e-caee049c911f,,,,,,,,,,,,,,,,,,,,,,,,,,2013,498cadc8-b8f6-4008-902e-76281101237d,0.0
22,a914a448-97b6-4559-8768-c26864fd5fce,,,,5,1,2,,,,,,,,,Pós-Doutorado,,,1,1,,,,,,,2015,68125729-c357-4830-ba4d-ec3ca757c323,2.75
23,e7146f29-6f30-449b-812c-92838623eb83,,,,2,,,,,,,,,,,Doutorado,,,,,,,,6,,,2013,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,0.0
24,b755a41f-69d6-4630-aa0c-bedd91e6c5a5,,,,,,,,,,,,,,,,,,,,,,,,,,2001,7d367bc2-5c74-4648-a637-7f5c3f4fac81,0.0
25,b096c2ce-a5a5-439d-af8a-2b46e632c79c,,,,,,,,,,,,,,,,,,,,,,,,,,None,7d367bc2-5c74-4648-a637-7f5c3f4fac81,0.0
26,be5d5263-3591-4be7-8411-02ed3a9edc3b,,,,,,,,,,,,,,,,,,,,,,,,,,2017,7d367bc2-5c74-4648-a637-7f5c3f4fac81,0.0
27,92b5892c-b01a-4d1d-8868-df99f9afeaf9,,,,1,,,1,1,1,,3,,1,,Doutorado,2,11,2,1,,,,9,,,2018,68125729-c357-4830-ba4d-ec3ca757c323,2.625
28,08d16a19-b58a-48f8-adad-7547ad2d44ef,,,,6,5,10,5,1,4,,,,,,Doutorado,3,8,4,16,,,,14,,9,2010,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,20.125
29,be6fd074-f52b-472b-9a96-a428b8f1226c,,,,,,,,,,,,,,,Pós-Doutorado,,2,,,,,,43,,,2012,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.0
30,ca0da0e1-e21c-48a8-8cd7-032445b093fa,,,,,,,,,,,,,,,,,,,,,,,,,,None,498cadc8-b8f6-4008-902e-76281101237d,0.0
31,41b19e6f-3132-463a-b7e7-82e9af80b5eb,,,,13,,,,,,,,,,,Doutorado,,,,,,,,,,,2003,68125729-c357-4830-ba4d-ec3ca757c323,0.0
32,a8ad9f29-bb2e-4bd1-acf3-0897ad22f8a0,,,,,,,,,,,,,,,,,,,,,,,,,,2015,7d367bc2-5c74-4648-a637-7f5c3f4fac81,0.0
33,9c3c2d18-6403-4c7f-bd20-ce7e7f604402,,,,,,,,,1,1,,,,,Pós-Doutorado,,,,,,,,1,,1,2015,68125729-c357-4830-ba4d-ec3ca757c323,0.87
34,8cefa46c-f17c-433e-bc86-4dae86a0d46c,,,,,,,,,,,,,,,,,,,,,,,,,,2020,498cadc8-b8f6-4008-902e-76281101237d,0.0
35,5415a3d3-89d9-4cee-91f0-f0f58b6ebfba,,,,,,,,,,,,,,,,,,,,,,,,,,2019,498cadc8-b8f6-4008-902e-76281101237d,0.0
36,1086bc8d-49e8-4616-b6f6-88d031908b17,,,,,,,,,,,,,,,,,,,,,,,,,,2013,498cadc8-b8f6-4008-902e-76281101237d,0.0
37,85df68b8-28b5-4221-b918-7e7f9e831d53,,,,2,,2,3,13,12,8,1,,4,3,Doutorado,5,48,10,1,3,,,36,,2,2021,7d367bc2-5c74-4648-a637-7f5c3f4fac81,21.335
38,17231281-7058-4a06-a11e-86b84662efea,,,,,,,,,,,,,,,Mestrado,,,,,,,,9,,,None,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.0
39,c3804410-1009-46a8-94b3-a975a21ff94b,,,,,,,,,,,,,,,,,,,,,,,,,,2014,7d367bc2-5c74-4648-a637-7f5c3f4fac81,0.0
40,a08d1079-078c-4010-b69a-3a89340fb291,,,,,,,,,,,,,,,,,,,,,,,,,,1999,498cadc8-b8f6-4008-902e-76281101237d,0.0
41,785db7e3-2952-4e23-af88-442e4108db58,,,,,,,,,,,,,,,,,,,,,,,,,,1997,7d367bc2-5c74-4648-a637-7f5c3f4fac81,0.0
42,279fc5d5-4fe4-4791-9470-531111a26813,,,,,1,,,1,,,,,2,1,Mestrado,,,,,,,,19,,2,None,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,1.625
43,944445bc-dd35-4cc9-b767-3c9eb6a6dd69,,,,,,,,,,,,,,,Doutorado,,7,,,,,,19,,3,2014,68125729-c357-4830-ba4d-ec3ca757c323,0.0
44,05c23902-d443-461a-9c3c-c2d1b83f401f,,,,11,5,,5,3,8,4,,1,2,2,Pós-Doutorado,4,19,3,9,,,,24,,6,2011,68125729-c357-4830-ba4d-ec3ca757c323,16.23
45,3c1c59b5-15dd-4926-a9f3-6d754d476144,,,,4,,,,5,,,,,1,1,Doutorado,,9,9,18,,,,5,,14,2014,498cadc8-b8f6-4008-902e-76281109187d,3.125
46,1971df65-f72b-4520-a49b-6921d6679a56,,,,,,,,,,,,,,,,,,,,,,,,,,None,498cadc8-b8f6-4008-902e-76281101237d,0.0
47,faa33ad9-4364-4dc8-a94c-3c997dc23171,,,,,,,,,,,,,,,Mestrado,,,,,,,,3,,,None,7d367bc2-5c74-4648-a637-7f5c3f4fac81,0.0
48,43d5ca7b-7def-406c-814b-3a45989d0050,,,,,,,,,,,,,,,,,,,,,,,,,,2010,7d367bc2-5c74-4648-a637-7f5c3f4fac81,0.0
49,ac40f662-2595-4fa6-b8dd-dc0038801840,,,,1,,,1,1,,,,,,,Especialização,,,,,,,,18,,3,None,498cadc8-b8f6-4008-902e-76281101237d,1.375
50,797158b1-fe37-4d02-b712-f60e93d72268,,,,,,,,,,,,,,,,,,,,,,,,,,2019,498cadc8-b8f6-4008-902e-76281101237d,0.0
51,66b9be1f-4279-49c2-9ad2-07379a09c756,,,,4,,,,,1,1,,,1,,Doutorado,4,5,2,1,,,,5,,8,2020,498cadc8-b8f6-4008-902e-76281101237d,0.87
52,306b58c1-14c9-4b44-b385-463136d2dbbd,,,,,,,,,,,,,,,,,,,,,,,,,,2005,498cadc8-b8f6-4008-902e-76281101237d,0.0
53,80b82656-3200-443d-8fa0-6d9ebfa3a79b,1,,,,1,2,2,1,,,,12,2,,Pós-Doutorado,,8,1,3,3,4,,7,,,2012,7d367bc2-5c74-4648-a637-7f5c3f4fac81,6.375
54,c0842f22-44ba-4e5c-8eab-73499792df73,,,,,,,,,,,,,,,,,,,,,,,,,,2014,7d367bc2-5c74-4648-a637-7f5c3f4fac81,0.0
55,46737437-021a-46ac-a5a7-32fa57555d4a,,,,,,,,,,,,,,,,,,,,,,,,,,2023,498cadc8-b8f6-4008-902e-76281101237d,0.0
56,1df95b82-f4fa-4c68-a27b-26603608a1d9,,,,,,,,,,,,,,,,,,,,,,,,,,None,498cadc8-b8f6-4008-902e-76281101237d,0.0
57,da62012d-f8e5-4b55-8293-7b0e3bbb29c1,,,,,,,,,,,,,,,,,,,,,,,,,,None,498cadc8-b8f6-4008-902e-76281101237d,0.0
58,4cfef9a2-3903-4acf-9235-e046bf5ab856,,,,,,,,,,,,,,,Mestrado,1,3,,,,,,9,,,None,7d367bc2-5c74-4648-a637-7f5c3f4fac81,0.0
