,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,ind_prod
0,4ec2e798-c2dc-4d62-b1c2-a4a22196f980,,,,,,,,,,,,2,,,Doutorado,,1,,,,,,16,,12,0.25
1,48e6c167-21fe-4adc-935e-b799e1bb8e46,,,,1,,,1,1,5,2,1,,1,,Doutorado,1,14,1,5,,,,11,,,4.865
2,233b7eba-b3eb-47df-86f4-4077e86a92ac,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
3,4c65de76-bb6d-4278-a729-aca9b03867d5,,,,,,,,,,,,,,,Mestrado,,,,,,,,,,,0.0
4,e9b21a16-ee4c-4e5b-97a1-3c45d6a83db4,,,,,,1,,,,,,,,,Doutorado,,,,,,,,7,,,0.875
5,fafaf365-0a8e-4ec7-991c-e68e41503f24,,,,1,,,,,,,,,,,Doutorado,,,,,,,,1,,,0.0
6,e2d5caa9-b9fe-4bcd-93bd-438b8cf5718d,,,,,,,,,,,,,,,Mestrado,2,5,,,,,,11,,,0.0
7,4a0968f0-f843-4d9a-ab8e-64bb59a0372e,1,,,,,,,,,,,,1,,Mestrado,,,,,,,,,,,0.0
8,44ff779e-da4c-4b6d-a344-bd6357c77f8f,,,,,,,,,,,,,,,Mestrado,,,,,,,,2,,,0.0
9,c4ef49c3-50d6-41b3-a5c1-cb8809ef47b5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
10,cc7622b2-0452-461a-a592-2d849b0abd2d,,,,1,,,,,,,,,,,Mestrado,,,,,,,,,,,0.0
11,11c4cf56-745e-4158-934d-e3a78625bd71,,,,,,,,,,,,,,,Mestrado,,,,,,,,18,,,0.0
12,7f7e0a66-517b-4ee1-86b7-2d752e3a2947,,,,2,1,1,,1,1,,,,1,,Pós-Doutorado,,21,4,13,3,,,,,1,3.0
13,d0fff41f-6899-495a-9b66-7ba245022075,,,,,,1,,,,,,,,,Mestrado,,,,,,,,,,,0.875
14,696fdb76-2cd2-4cc1-a43a-cb4da8b71546,,,,,,1,,,,1,,,,2,Doutorado,,7,,2,,1,,3,,1,1.245
15,402d250b-a412-4fcf-849a-3589b958c001,,,,,,,,,,,,,,,Mestrado,,,,,,,,15,,,0.0
16,9cfe2e80-b17d-4f34-8f7d-04ffe5748a9e,,,,5,,,,,,1,,,,,Doutorado,,,,,,,,8,,,0.37
17,05908988-e577-4d7e-911f-bc53e2193f92,,,,6,,,,,,,,,,,Mestrado,,,,,,,,1,,,0.0
18,85e8bc9f-db4e-43de-8165-daed7629b4b2,,,,,1,1,,1,,,1,,,,Pós-Doutorado,,,,,,,,,,,2.75
19,3270365d-a600-44eb-b080-e2163a8dc333,,,,,,,,,,,,,,,Mestrado,,,,,,,,2,,,0.0
20,1bb1d946-fca8-4081-852a-acab8810e89f,,,,2,,1,,1,,,,1,1,,Doutorado,,,,,,,,5,,,1.625
21,13d23d1d-63f7-4a84-889c-05ae5a668da4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
22,6f034b17-ff24-452e-a624-01cd41500d38,,,,,,,,,1,,,,1,1,Doutorado,3,11,,,,,,8,,1,0.5
23,cfbd78ae-95f1-403b-8c32-da168f4a0527,,,,,,,,,,,,,,,Mestrado,,,,,,,,17,,,0.0
24,1447b40a-3159-4151-b68e-02dc460fd311,,,,,1,2,3,2,1,,,1,1,,Pós-Doutorado,3,9,1,8,5,3,,6,,,6.875
25,09b4f179-50c1-41c5-ac0a-aca5f8b339fb,,,,,,,,,,,,,,,Doutorado,,,,,,,,2,,,0.0
26,7914d3c8-cce3-47f1-86a2-5f1b8fa16101,,,,2,,,,,,,,,,,Mestrado,,,,,,,,12,,2,0.0
27,b036c6b3-92e5-440a-9233-a8ea8b6bee52,,,,,,1,1,,1,,,,,,Doutorado,,3,1,8,,,,15,,1,2.125
28,0ad36bf9-edfd-4238-8168-23830d96c7d7,,3,,,,,,,,,,,,,Doutorado,,,,,,,,10,,,0.0
29,d01a5e3d-7420-4beb-b56d-c662ba2d24e8,,,,1,,,,1,1,,1,,,,Doutorado,,2,,,,,,10,,2,1.375
30,629837a6-c8d1-4bcd-95c6-b96fbcd46d0a,,,,,,,,,,,,,,,Doutorado,,,,,,,,3,,2,0.0
31,91ac616c-e6c2-49c1-b815-ac97713dd9bb,,,,1,,,,1,1,,,,2,1,Doutorado,,,,,,,,8,,,1.125
32,e71b7118-59d2-4cbf-ac4a-8366f32ed575,,,,,,,,1,,,,,,,Mestrado,,,,,,,,2,,,0.625
33,14588775-c101-469a-8764-87576396c4d8,,,,,,,,1,,1,,,,,Doutorado,,,,,,,,14,,,0.995
34,3cbfe2e8-9101-43f1-9006-be26a058a226,,,,1,,,,,,,,,,,Especialização,,,,,,,,4,,,0.0
35,4d8021b5-9d18-4e0c-9038-3aba6a4a73ed,,,,9,2,,2,,3,,1,,2,1,Doutorado,,7,,,,,,25,,,5.25
36,59503edb-7837-4a36-aa54-1265c6f2cd2a,,,,4,,,,,,,1,,,,Doutorado,,5,,,,,,13,,4,0.25
37,faee59c3-5d9b-410d-bf9b-53aeef06b712,,,,,,,,,,,1,,,1,Mestrado,,,,,,,,1,,,0.25
38,921c3eab-e783-48e2-89a0-9141dcfb240b,,,,,,,,,,,,,1,,Mestrado,,,,,,,,8,,,0.0
39,1ef13f46-8dc9-4393-bb43-4eb04c49b846,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
40,79640357-fa93-4a54-ab9f-43c13960f5d7,,,,1,,,,,,,,,,,Doutorado,,,,,,,,,,,0.0
41,e6ded7ed-3af0-4c91-bbe4-d90e7ffc986a,,,,,,,,,,,,,,,Doutorado,2,27,1,8,,3,,6,,,0.0
42,50decfb9-3b1e-4278-8e18-764f0a1253bf,,,,,,1,,,,1,,,,,Doutorado,,,,,,,,10,,,1.245
43,96edc5ac-fe82-4f5a-8cc4-8a5a487c2d9b,,,,,,,,,,,,,,,Mestrado,,4,,,,,,14,,,0.0
44,ab7c7fd8-831e-408c-86a1-d4855d67e538,,,,,,,,,,,,,,,Doutorado,1,10,,2,,,,1,,,0.0
45,f20da1a7-dae9-4028-b280-a623df4bbcd6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
46,78d89380-1296-47f6-b82d-a0946f14b575,,,,1,,,,,,,,,,,Doutorado,,,,1,,,,2,,,0.0
47,75b99ba0-5380-4ddc-8c26-7879d97a7816,,,,1,,,,,,,,,,,Mestrado,,,,,,,,12,,,0.0
48,c06f9cd1-fc98-40bf-8c06-6dd5ba04b25c,,,,,,,1,2,,,,1,3,,Doutorado,3,15,,,,,,3,,4,2.125
49,d6378d50-2897-463c-ae92-bbbfb3dfe318,,,,4,,,,,,,,,,1,Mestrado,,,,,,,,27,,1,0.0
50,4e122642-891b-4437-85e3-2ca7a022a440,,,,,,,,,,,,,,,Mestrado,,,,,,,,,,,0.0
51,c685e880-2410-4df7-a123-106a2ceff949,,,,1,1,2,,3,1,,,,1,,Doutorado,2,,7,8,,,,6,,2,5.125
52,1be65e38-67f3-4f47-bf15-a82b757fd50c,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
53,c86064a9-cd2c-487f-9200-5ce86c745dff,,,,,2,1,,,,,,1,,,Doutorado,,,,8,,,,5,,,3.0
54,f55a7e81-0d2d-4f17-ad8f-882bff9e8d6c,,,,2,,,,,1,,,,,,Doutorado,,,,,,,,23,,,0.5
55,1dacf11e-e3ee-4f3d-b12d-9f8f0740a539,,,,1,,1,,,,,,,,1,Doutorado,,,,8,,1,,3,,,0.875
56,5373d5cb-5214-4e09-b2e6-9401a1532e5c,,,,4,3,,2,,,,1,,1,1,Doutorado,,20,2,9,1,3,,17,,,4.75
57,6c0ca904-ae89-4646-ba99-9a35288195f9,,,,,,,,,1,,,,,,Mestrado,1,6,,,,,,12,,,0.5
58,6f87bea9-fcab-4c95-88c7-bc4a75dfbd3c,,,,,,,,,1,1,,,1,2,Doutorado,,,,,,,,3,,,0.87
59,523ffa66-9820-4ecb-9e75-aef68827eec8,,,,1,,,,,,,,,1,,Doutorado,,,,,,,,,,,0.0
60,5c0d2426-8c22-498f-9570-129633c23ea1,,,,,,,,,,,,,,,Mestrado,,,,,,,,1,,4,0.0
61,ff80cac1-fafe-4984-8b57-c3eaced3758a,,,,,,1,1,1,,,,,,1,Pós-Doutorado,2,8,,,,1,,2,,,2.25
62,d526848c-fc01-42e8-b16a-6e762bb56c69,,,,,2,2,3,,,,,,,,Pós-Doutorado,2,2,2,4,,,,2,,,6.0
