,lattes_id
0,0001384073059394
1,0001673146416401
2,0004733536024382
3,0007315610864809
4,0010740473943493
5,0013509738854762
6,0013533123598054
7,0015307411103309
8,0017236779588795
9,0017447665602260
10,0017622106863794
11,0020007740310998
12,0021770051022919
13,0022798664370349
14,0022848431443834
15,0024327504516685
16,0024544164324027
17,0024799567828072
18,0027177274541144
19,0032106111547911
20,0033301429782743
21,0033562409950075
22,0038414454386697
23,0047016162432307
24,0047042779530990
25,0049008896220891
26,0049258286215871
27,0053869533760582
28,0055330294682201
29,0059531046348918
30,0059602479808369
31,0063717936076236
32,0063992973209483
33,0064304442118049
34,0064315395160429
35,0069767804322556
36,0074334125814064
37,0076167379811262
38,0079864218470440
39,0082946888447947
40,0087313168114434
41,0087332003737911
42,0087804302005744
43,0092436602256681
44,0094036936916404
45,0096687974315506
46,0098214469103584
47,0099885566758800
48,0100817431903232
49,0100895682620863
50,0104800308948265
51,0106313421959288
52,0113230546537866
53,0116384720564470
54,0116933171747491
55,0117738565590122
56,0120529986058551
57,0122151124985955
58,0122669901954921
59,0125795412549848
60,0130140163490918
61,0131090194624075
62,0131654669138896
63,0135314439001985
64,0138717846176845
65,0139351935811805
66,0141215813629546
67,0144075298283537
68,0144237770350384
69,0146541919194332
70,0150184009587350
71,0156280498858217
72,0160809115751408
73,0161751105891115
74,0166590798914047
75,0169167338670144
76,0170505951720567
77,0170625163033191
78,0177726628900393
79,0179266700190376
80,0180367772936360
81,0183318974509446
82,0187404140153844
83,0187898825876539
84,0190294210557535
85,0191048428072248
86,0195216117693517
87,0195589452166382
88,0200709054904002
89,0203216959086087
90,0204463669213800
91,0205250132207867
92,0208968843340052
93,0212022820157699
94,0225453826976283
95,0230918305603521
96,0237497216061994
97,0239642278514409
98,0243494803303520
99,0244770519083963
100,0245685240623335
101,0247144131271836
102,0248810026674622
103,0249597363925509
104,0249900010622117
105,0249975271544232
106,0255158936255198
107,0255287881353014
108,0255590203837193
109,0255736177844458
110,0256098254725777
111,0256508508340613
112,0257392772572219
113,0260101975632910
114,0261453862789566
115,0262254836413031
116,0263245684291178
117,0265375522464650
118,0265453243434852
119,0266844129389646
120,0267769773375489
121,0275160515455961
122,0279573737510282
123,0281663893236517
124,0281842909820340
125,0283133545680169
126,0293184627835301
127,0293256431875146
128,0293321489114247
129,0296368326522374
130,0300191989617666
131,0301389375663017
132,0311269579592078
133,0311965511187349
134,0312737941830374
135,0316140017585478
136,0316143579329016
137,0317385977493237
138,0319175230859522
139,0319290439423906
140,0319555574608435
141,0319800678858096
142,0321004705866473
143,0324345101574812
144,0327368625794761
145,0328911273530893
146,0328967017449266
147,0329982932045729
148,0330805407919089
149,0334405391602668
150,0339260022765823
151,0339549873763135
152,0345926650587480
153,0350603304310992
154,0352675830582509
155,0352849433627282
156,0353071359502148
157,0356282364052956
158,0356339989732364
159,0356528164176004
160,0358338345257495
161,0359637498646842
162,0360848772158517
163,0364065995527739
164,0368251561068218
165,0368683092136867
166,0369000710579780
167,0373405678297289
168,0374467335068310
169,0374515133618753
170,0379627655215398
171,0379787325639951
172,0384816069731675
173,0387900917351935
174,0388366411529758
175,0388485002238982
176,0389531057903876
177,0392015644495820
178,0398551296546687
179,0400523743500942
180,0401443081638512
181,0402325138700986
182,0403007958574983
183,0410221040551571
184,0418715479919078
185,0427164315821156
186,0427208726818623
187,0427257233357637
188,0429242087969288
189,0433191265187095
190,0434540415053619
191,0435557259528110
192,0438255470806952
193,0439748570650475
194,0441614104812969
195,0444033232276080
196,0445963820054976
197,0447022117254845
198,0447885838092215
199,0448163236587588
200,0449124729988113
201,0451135291757415
202,0460681541631137
203,0463377457818645
204,0463654957762860
205,0463875876167271
206,0466577603837842
207,0467812976162290
208,0468391658434911
209,0470325898474654
210,0473172878360691
211,0475329661045381
212,0475370968811315
213,0475671793935444
214,0477143468297525
215,0484061908340443
216,0487715365620156
217,0489171432978588
218,0490968739042083
219,0492589392111343
220,0496495726539966
221,0498881266724340
222,0500165694035440
223,0501003638749239
224,0502414789679136
225,0503816339669748
226,0506514781389814
227,0508439767073588
228,0512297165753555
229,0515779204407669
230,0517805908523898
231,0519619339414940
232,0520657307388912
233,0521113309452505
234,0527052203990475
235,0528938979232171
236,0529761090445279
237,0532055330761941
238,0533280554967933
239,0536212349604072
240,0539134068708725
241,0539413400810143
242,0541124234843003
243,0543024073878236
244,0544444957106665
245,0547922479527894
246,0549565810442074
247,0550981915615186
248,0551276460398189
249,0552474321452394
250,0555231032422996
251,0556118425780545
252,0556890521617061
253,0557351219964656
254,0557949565804841
255,0558007050844709
256,0560339514006275
257,0561391146624547
258,0565048549817149
259,0574343089261307
260,0579602019762457
261,0580160379130805
262,0583251197589672
263,0583253272125836
264,0584422339822172
265,0585906185658561
266,0590125000128511
267,0591029407384947
268,0591839126294720
269,0597464404853746
270,0601682327609093
271,0602637561799016
272,0602769009677485
273,0603349209392334
274,0603538680896060
275,0603800611345887
276,0609595908210385
277,0610371546999839
278,0615284974792994
279,0617576940431548
280,0618288403288932
281,0621538961030622
282,0622394461433511
283,0625148671444792
284,0626899103964645
285,0628301534460033
286,0629621499233947
287,0632392082652790
288,0634478909183482
289,0634789186512026
290,0635163030359156
291,0640065589365201
292,0640283827951003
293,0644022795488090
294,0646306287841968
295,0647875482187151
296,0649592506861290
297,0650868052795232
298,0657401449833853
299,0657883154152274
300,0657956315699090
301,0658453021952703
302,0660923161666006
303,0661893163690196
304,0664224232101270
305,0665307057953572
306,0668213497042776
307,0669560865446605
308,0669695292809331
309,0670934143357215
310,0674828590635391
311,0675170634223293
312,0675328808474235
313,0678821694320701
314,0679299282382100
315,0680424975355819
316,0681586784550973
317,0682187855221762
318,0689104376376361
319,0691850578365478
320,0693405407309642
321,0695620073227405
322,0696292949900744
323,0698802929212408
324,0699272930614987
325,0699348170110371
326,0701046082349783
327,0701517032214715
328,0704248561279452
329,0705244514361150
330,0707393982234072
331,0709539050557942
332,0710584663045726
333,0712806297262651
334,0713486577039303
335,0715058944867680
336,0721257416354302
337,0721289519026817
338,0722302902866322
339,0723049842970281
340,0723226096511631
341,0724763301934728
342,0727637893526869
343,0728257795436906
344,0731411666294420
345,0731745538204751
346,0738806646986342
347,0743586306909752
348,0744086242987306
349,0747156832406887
350,0748259053483152
351,0750865588293309
352,0752720110717846
353,0756492297489972
354,0758972405365063
355,0761899023114399
356,0764021937598010
357,0765470858061803
358,0768868172775648
359,0769386605342414
360,0772890684544378
361,0777109091516034
362,0778418304318846
363,0778461020883679
364,0783933493017193
365,0789518404540744
366,0791027220135447
367,0791324256413182
368,0791892581711001
369,0791911049871382
370,0797074193914245
371,0797428878145538
372,0798235128677539
373,0802126145296730
374,0804841029469397
375,0806159879273100
376,0809275570407723
377,0809692329484222
378,0811302121043675
379,0811694702768344
380,0811866653627494
